"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"China","2010","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2012","1332810869","1,2"
"China","2010","Total","Both Sexes","0","Census - de jure - complete tabulation","Final figure, complete","2012","13786434","1,2"
"China","2010","Total","Both Sexes","0 - 4","Census - de jure - complete tabulation","Final figure, complete","2012","75532610","1,2"
"China","2010","Total","Both Sexes","1","Census - de jure - complete tabulation","Final figure, complete","2012","15657955","1,2"
"China","2010","Total","Both Sexes","2","Census - de jure - complete tabulation","Final figure, complete","2012","15617375","1,2"
"China","2010","Total","Both Sexes","3","Census - de jure - complete tabulation","Final figure, complete","2012","15250805","1,2"
"China","2010","Total","Both Sexes","4","Census - de jure - complete tabulation","Final figure, complete","2012","15220041","1,2"
"China","2010","Total","Both Sexes","5","Census - de jure - complete tabulation","Final figure, complete","2012","14732137","1,2"
"China","2010","Total","Both Sexes","5 - 9","Census - de jure - complete tabulation","Final figure, complete","2012","70881549","1,2"
"China","2010","Total","Both Sexes","6","Census - de jure - complete tabulation","Final figure, complete","2012","14804470","1,2"
"China","2010","Total","Both Sexes","7","Census - de jure - complete tabulation","Final figure, complete","2012","13429161","1,2"
"China","2010","Total","Both Sexes","8","Census - de jure - complete tabulation","Final figure, complete","2012","13666956","1,2"
"China","2010","Total","Both Sexes","9","Census - de jure - complete tabulation","Final figure, complete","2012","14248825","1,2"
"China","2010","Total","Both Sexes","10","Census - de jure - complete tabulation","Final figure, complete","2012","14454357","1,2"
"China","2010","Total","Both Sexes","10 - 14","Census - de jure - complete tabulation","Final figure, complete","2012","74908462","1,2"
"China","2010","Total","Both Sexes","11","Census - de jure - complete tabulation","Final figure, complete","2012","13935714","1,2"
"China","2010","Total","Both Sexes","12","Census - de jure - complete tabulation","Final figure, complete","2012","15399559","1,2"
"China","2010","Total","Both Sexes","13","Census - de jure - complete tabulation","Final figure, complete","2012","15225032","1,2"
"China","2010","Total","Both Sexes","14","Census - de jure - complete tabulation","Final figure, complete","2012","15893800","1,2"
"China","2010","Total","Both Sexes","15","Census - de jure - complete tabulation","Final figure, complete","2012","18024484","1,2"
"China","2010","Total","Both Sexes","15 - 19","Census - de jure - complete tabulation","Final figure, complete","2012","99889114","1,2"
"China","2010","Total","Both Sexes","16","Census - de jure - complete tabulation","Final figure, complete","2012","18790521","1,2"
"China","2010","Total","Both Sexes","17","Census - de jure - complete tabulation","Final figure, complete","2012","20775369","1,2"
"China","2010","Total","Both Sexes","18","Census - de jure - complete tabulation","Final figure, complete","2012","20755274","1,2"
"China","2010","Total","Both Sexes","19","Census - de jure - complete tabulation","Final figure, complete","2012","21543466","1,2"
"China","2010","Total","Both Sexes","20","Census - de jure - complete tabulation","Final figure, complete","2012","28026954","1,2"
"China","2010","Total","Both Sexes","20 - 24","Census - de jure - complete tabulation","Final figure, complete","2012","127412518","1,2"
"China","2010","Total","Both Sexes","21","Census - de jure - complete tabulation","Final figure, complete","2012","26556649","1,2"
"China","2010","Total","Both Sexes","22","Census - de jure - complete tabulation","Final figure, complete","2012","24474192","1,2"
"China","2010","Total","Both Sexes","23","Census - de jure - complete tabulation","Final figure, complete","2012","25695955","1,2"
"China","2010","Total","Both Sexes","24","Census - de jure - complete tabulation","Final figure, complete","2012","22658768","1,2"
"China","2010","Total","Both Sexes","25","Census - de jure - complete tabulation","Final figure, complete","2012","19933683","1,2"
"China","2010","Total","Both Sexes","25 - 29","Census - de jure - complete tabulation","Final figure, complete","2012","101013852","1,2"
"China","2010","Total","Both Sexes","26","Census - de jure - complete tabulation","Final figure, complete","2012","19709177","1,2"
"China","2010","Total","Both Sexes","27","Census - de jure - complete tabulation","Final figure, complete","2012","19480836","1,2"
"China","2010","Total","Both Sexes","28","Census - de jure - complete tabulation","Final figure, complete","2012","22322147","1,2"
"China","2010","Total","Both Sexes","29","Census - de jure - complete tabulation","Final figure, complete","2012","19568009","1,2"
"China","2010","Total","Both Sexes","30","Census - de jure - complete tabulation","Final figure, complete","2012","18928369","1,2"
"China","2010","Total","Both Sexes","30 - 34","Census - de jure - complete tabulation","Final figure, complete","2012","97138203","1,2"
"China","2010","Total","Both Sexes","31","Census - de jure - complete tabulation","Final figure, complete","2012","19866458","1,2"
"China","2010","Total","Both Sexes","32","Census - de jure - complete tabulation","Final figure, complete","2012","19474874","1,2"
"China","2010","Total","Both Sexes","33","Census - de jure - complete tabulation","Final figure, complete","2012","18179478","1,2"
"China","2010","Total","Both Sexes","34","Census - de jure - complete tabulation","Final figure, complete","2012","20689024","1,2"
"China","2010","Total","Both Sexes","35","Census - de jure - complete tabulation","Final figure, complete","2012","21186516","1,2"
"China","2010","Total","Both Sexes","35 - 39","Census - de jure - complete tabulation","Final figure, complete","2012","118025959","1,2"
"China","2010","Total","Both Sexes","36","Census - de jure - complete tabulation","Final figure, complete","2012","22906980","1,2"
"China","2010","Total","Both Sexes","37","Census - de jure - complete tabulation","Final figure, complete","2012","23990208","1,2"
"China","2010","Total","Both Sexes","38","Census - de jure - complete tabulation","Final figure, complete","2012","24730460","1,2"
"China","2010","Total","Both Sexes","39","Census - de jure - complete tabulation","Final figure, complete","2012","25211795","1,2"
"China","2010","Total","Both Sexes","40","Census - de jure - complete tabulation","Final figure, complete","2012","27397219","1,2"
"China","2010","Total","Both Sexes","40 - 44","Census - de jure - complete tabulation","Final figure, complete","2012","124753964","1,2"
"China","2010","Total","Both Sexes","41","Census - de jure - complete tabulation","Final figure, complete","2012","24956297","1,2"
"China","2010","Total","Both Sexes","42","Census - de jure - complete tabulation","Final figure, complete","2012","27032542","1,2"
"China","2010","Total","Both Sexes","43","Census - de jure - complete tabulation","Final figure, complete","2012","21355748","1,2"
"China","2010","Total","Both Sexes","44","Census - de jure - complete tabulation","Final figure, complete","2012","24012158","1,2"
"China","2010","Total","Both Sexes","45","Census - de jure - complete tabulation","Final figure, complete","2012","23962574","1,2"
"China","2010","Total","Both Sexes","45 - 49","Census - de jure - complete tabulation","Final figure, complete","2012","105594553","1,2"
"China","2010","Total","Both Sexes","46","Census - de jure - complete tabulation","Final figure, complete","2012","23355778","1,2"
"China","2010","Total","Both Sexes","47","Census - de jure - complete tabulation","Final figure, complete","2012","26972157","1,2"
"China","2010","Total","Both Sexes","48","Census - de jure - complete tabulation","Final figure, complete","2012","20075084","1,2"
"China","2010","Total","Both Sexes","49","Census - de jure - complete tabulation","Final figure, complete","2012","11228960","1,2"
"China","2010","Total","Both Sexes","50","Census - de jure - complete tabulation","Final figure, complete","2012","14097008","1,2"
"China","2010","Total","Both Sexes","50 - 54","Census - de jure - complete tabulation","Final figure, complete","2012","78753171","1,2"
"China","2010","Total","Both Sexes","51","Census - de jure - complete tabulation","Final figure, complete","2012","12838832","1,2"
"China","2010","Total","Both Sexes","52","Census - de jure - complete tabulation","Final figure, complete","2012","16617709","1,2"
"China","2010","Total","Both Sexes","53","Census - de jure - complete tabulation","Final figure, complete","2012","18351980","1,2"
"China","2010","Total","Both Sexes","54","Census - de jure - complete tabulation","Final figure, complete","2012","16847642","1,2"
"China","2010","Total","Both Sexes","55","Census - de jure - complete tabulation","Final figure, complete","2012","17610528","1,2"
"China","2010","Total","Both Sexes","55 - 59","Census - de jure - complete tabulation","Final figure, complete","2012","81312474","1,2"
"China","2010","Total","Both Sexes","56","Census - de jure - complete tabulation","Final figure, complete","2012","17738127","1,2"
"China","2010","Total","Both Sexes","57","Census - de jure - complete tabulation","Final figure, complete","2012","16093888","1,2"
"China","2010","Total","Both Sexes","58","Census - de jure - complete tabulation","Final figure, complete","2012","16167933","1,2"
"China","2010","Total","Both Sexes","59","Census - de jure - complete tabulation","Final figure, complete","2012","13701998","1,2"
"China","2010","Total","Both Sexes","60","Census - de jure - complete tabulation","Final figure, complete","2012","13618204","1,2"
"China","2010","Total","Both Sexes","60 - 64","Census - de jure - complete tabulation","Final figure, complete","2012","58667282","1,2"
"China","2010","Total","Both Sexes","61","Census - de jure - complete tabulation","Final figure, complete","2012","13029125","1,2"
"China","2010","Total","Both Sexes","62","Census - de jure - complete tabulation","Final figure, complete","2012","11276853","1,2"
"China","2010","Total","Both Sexes","63","Census - de jure - complete tabulation","Final figure, complete","2012","10791633","1,2"
"China","2010","Total","Both Sexes","64","Census - de jure - complete tabulation","Final figure, complete","2012","9951467","1,2"
"China","2010","Total","Both Sexes","65","Census - de jure - complete tabulation","Final figure, complete","2012","9073411","1,2"
"China","2010","Total","Both Sexes","65 - 69","Census - de jure - complete tabulation","Final figure, complete","2012","41113282","1,2"
"China","2010","Total","Both Sexes","66","Census - de jure - complete tabulation","Final figure, complete","2012","8640965","1,2"
"China","2010","Total","Both Sexes","67","Census - de jure - complete tabulation","Final figure, complete","2012","7942141","1,2"
"China","2010","Total","Both Sexes","68","Census - de jure - complete tabulation","Final figure, complete","2012","7740868","1,2"
"China","2010","Total","Both Sexes","69","Census - de jure - complete tabulation","Final figure, complete","2012","7715897","1,2"
"China","2010","Total","Both Sexes","70","Census - de jure - complete tabulation","Final figure, complete","2012","7389412","1,2"
"China","2010","Total","Both Sexes","70 - 74","Census - de jure - complete tabulation","Final figure, complete","2012","32972397","1,2"
"China","2010","Total","Both Sexes","71","Census - de jure - complete tabulation","Final figure, complete","2012","6265718","1,2"
"China","2010","Total","Both Sexes","72","Census - de jure - complete tabulation","Final figure, complete","2012","6893225","1,2"
"China","2010","Total","Both Sexes","73","Census - de jure - complete tabulation","Final figure, complete","2012","6343869","1,2"
"China","2010","Total","Both Sexes","74","Census - de jure - complete tabulation","Final figure, complete","2012","6080173","1,2"
"China","2010","Total","Both Sexes","75","Census - de jure - complete tabulation","Final figure, complete","2012","5632477","1,2"
"China","2010","Total","Both Sexes","75 - 79","Census - de jure - complete tabulation","Final figure, complete","2012","23852133","1,2"
"China","2010","Total","Both Sexes","76","Census - de jure - complete tabulation","Final figure, complete","2012","5175500","1,2"
"China","2010","Total","Both Sexes","77","Census - de jure - complete tabulation","Final figure, complete","2012","5082383","1,2"
"China","2010","Total","Both Sexes","78","Census - de jure - complete tabulation","Final figure, complete","2012","4254858","1,2"
"China","2010","Total","Both Sexes","79","Census - de jure - complete tabulation","Final figure, complete","2012","3706915","1,2"
"China","2010","Total","Both Sexes","80","Census - de jure - complete tabulation","Final figure, complete","2012","3737259","1,2"
"China","2010","Total","Both Sexes","80 - 84","Census - de jure - complete tabulation","Final figure, complete","2012","13373198","1,2"
"China","2010","Total","Both Sexes","81","Census - de jure - complete tabulation","Final figure, complete","2012","2816693","1,2"
"China","2010","Total","Both Sexes","82","Census - de jure - complete tabulation","Final figure, complete","2012","2757918","1,2"
"China","2010","Total","Both Sexes","83","Census - de jure - complete tabulation","Final figure, complete","2012","2237138","1,2"
"China","2010","Total","Both Sexes","84","Census - de jure - complete tabulation","Final figure, complete","2012","1824190","1,2"
"China","2010","Total","Both Sexes","85","Census - de jure - complete tabulation","Final figure, complete","2012","1648160","1,2"
"China","2010","Total","Both Sexes","85 - 89","Census - de jure - complete tabulation","Final figure, complete","2012","5631928","1,2"
"China","2010","Total","Both Sexes","86","Census - de jure - complete tabulation","Final figure, complete","2012","1344215","1,2"
"China","2010","Total","Both Sexes","87","Census - de jure - complete tabulation","Final figure, complete","2012","1065276","1,2"
"China","2010","Total","Both Sexes","88","Census - de jure - complete tabulation","Final figure, complete","2012","858879","1,2"
"China","2010","Total","Both Sexes","89","Census - de jure - complete tabulation","Final figure, complete","2012","715398","1,2"
"China","2010","Total","Both Sexes","90","Census - de jure - complete tabulation","Final figure, complete","2012","553805","1,2"
"China","2010","Total","Both Sexes","90 - 94","Census - de jure - complete tabulation","Final figure, complete","2012","1578307","1,2"
"China","2010","Total","Both Sexes","91","Census - de jure - complete tabulation","Final figure, complete","2012","371079","1,2"
"China","2010","Total","Both Sexes","92","Census - de jure - complete tabulation","Final figure, complete","2012","287676","1,2"
"China","2010","Total","Both Sexes","93","Census - de jure - complete tabulation","Final figure, complete","2012","209291","1,2"
"China","2010","Total","Both Sexes","94","Census - de jure - complete tabulation","Final figure, complete","2012","156456","1,2"
"China","2010","Total","Both Sexes","95","Census - de jure - complete tabulation","Final figure, complete","2012","117522","1,2"
"China","2010","Total","Both Sexes","95 - 99","Census - de jure - complete tabulation","Final figure, complete","2012","369979","1,2"
"China","2010","Total","Both Sexes","96","Census - de jure - complete tabulation","Final figure, complete","2012","90889","1,2"
"China","2010","Total","Both Sexes","97","Census - de jure - complete tabulation","Final figure, complete","2012","68648","1,2"
"China","2010","Total","Both Sexes","98","Census - de jure - complete tabulation","Final figure, complete","2012","54689","1,2"
"China","2010","Total","Both Sexes","99","Census - de jure - complete tabulation","Final figure, complete","2012","38231","1,2"
"China","2010","Total","Both Sexes","100 +","Census - de jure - complete tabulation","Final figure, complete","2012","35934","1,2"

"footnoteSeqID","Footnote"
"1","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan province of China."
"2","Data exclude 2.3 million servicemen, 4.65 million persons with permanent resident status difficult to define, and 0.12 per cent undercount based on the post enumeration survey."
